"bouquet_name","bouquet_category","bouquet_count","actual_margin_rate"
Corporate Classic,corporate,795,57.83
Bright Birthday Mix,author,559,64.63
Business Reception Set,corporate,495,60.41
Just Because Mix,author,430,63.74
Tender Tulips 25,seasonal,421,61.57
New Year Winter Box,seasonal,392,63.50
Gerbera Smile,mono,376,59.84
Chrysanthemum Family Bouquet,mono,368,60.65
Budget Compliment,mono,331,63.58
Pastel Author Bouquet,author,317,66.36
Spring Mix,seasonal,294,60.86
Classic Red Roses 25,mono,283,58.18
Pink Roses 21,mono,279,59.10
Orchid Premium Box,premium,279,64.21
White Wedding Bouquet,wedding,219,68.57
Iris Spring Bouquet,seasonal,210,62.00
Minimal White Bouquet,author,210,65.06
Romantic Spray Roses,author,190,66.19
Roses and Hypericum,author,189,63.69
First Bell Bouquet,seasonal,180,61.39
Wedding Peony,wedding,173,68.58
Lily Elegance,author,165,64.69
Small Wedding Set,wedding,144,68.30
Sunflower Mood,seasonal,142,60.97
Peony Dream,premium,134,63.06
Hydrangea Cloud,premium,111,63.82
Premium Exotic,premium,65,63.76
Lavender Provence,seasonal,59,62.35
Ranunculus Tenderness,premium,58,63.94
Lilac Matthiola Mix,seasonal,46,61.27
