"period_name","bouquet_name","count_bouquet","bouquet_revenue"
"1 сентября",First Bell Bouquet,26,96200.00
"1 сентября",Bright Birthday Mix,10,42500.00
"1 сентября",Gerbera Smile,10,38500.00
"1 сентября",Sunflower Mood,10,36500.00
"1 сентября",Iris Spring Bouquet,5,25000.00
"1 сентября",Spring Mix,5,21750.00
"1 сентября",Budget Compliment,9,14850.00
"14 февраля",Classic Red Roses 25,45,324000.00
"14 февраля",Romantic Spray Roses,26,152100.00
"14 февраля",Pastel Author Bouquet,14,112000.00
"14 февраля",Roses and Hypericum,18,104400.00
"14 февраля",Just Because Mix,20,94000.00
"14 февраля",Pink Roses 21,16,87200.00
"14 февраля",Budget Compliment,15,24750.00
"14 февраля",Orchid Premium Box,1,5100.00
"8 марта",Tender Tulips 25,258,1032000.00
"8 марта",Spring Mix,165,717750.00
"8 марта",Pastel Author Bouquet,66,528000.00
"8 марта",Iris Spring Bouquet,83,415000.00
"8 марта",Pink Roses 21,67,365150.00
"8 марта",Bright Birthday Mix,41,174250.00
"8 марта",Just Because Mix,19,89300.00
"8 марта",Chrysanthemum Family Bouquet,25,71250.00
"8 марта",Budget Compliment,34,56100.00
Новый год,Business Reception Set,191,1050500.00
Новый год,New Year Winter Box,133,877800.00
Новый год,Corporate Classic,165,528000.00
Новый год,Orchid Premium Box,77,392700.00
Новый год,Just Because Mix,55,258500.00
Новый год,Bright Birthday Mix,60,255000.00
Новый год,Premium Exotic,28,240800.00
Новый год,Roses and Hypericum,23,133400.00
Новый год,Gerbera Smile,31,119350.00
Новый год,Chrysanthemum Family Bouquet,38,108300.00
Новый год,Lavender Provence,18,75600.00
